Date,Description,Debit Amt,Credit Amt,Balance
01-08-2024,Salary Credit XYZ Pvt Ltd,1935.3,0.0,6864.58
02-08-2024,Salary Credit XYZ Pvt Ltd,1652.61,0.0,8517.19
03-08-2024,IMPS UPI Payment Amazon,0.0,3886.08,4631.11
03-08-2024,Mobile Recharge Via UPI,0.0,1648.72,6279.83
14-08-2024,Fuel Purchase Debit Card,0.0,3878.57,10158.4
17-08-2024,Electricity Bill NEFT Online,0.0,1963.11,12121.51
18-08-2024,Interest Credit Saving Account,596.72,0.0,11524.79
25-08-2024,Cheque Deposit Local Clearing,617.86,0.0,10906.93
27-08-2024,Fuel Purchase Debit Card,0.0,2650.96,13557.89
01-09-2024,Dining Out Card Swipe,0.0,656.42,14214.31
08-09-2024,Mobile Recharge Via UPI,0.0,4150.96,10063.35
12-09-2024,Cheque Deposit Local Clearing,826.71,0.0,10890.06
16-09-2024,Fuel Purchase Debit Card,0.0,3148.44,14038.5
16-09-2024,Credit Card Payment ICICI,0.0,1629.34,12409.16
20-09-2024,NEFT Transfer To ABC Ltd,0.0,4275.77,16684.93
25-09-2024,Salary Credit XYZ Pvt Ltd,2507.17,0.0,19192.1
26-09-2024,IMPS UPI Payment Amazon,0.0,740.64,19932.74
03-10-2024,EMI Auto Debit HDFC Bank,0.0,2516.44,22449.18
06-10-2024,Utility Bill Payment Electricity,0.0,4208.51,18240.67
07-10-2024,Service Charge GST Debit,0.0,3593.89,21834.56
09-10-2024,Cash Deposit Branch Counter,3215.04,0.0,25049.6
12-10-2024,IMPS UPI Payment Amazon,0.0,4098.72,29148.32
15-10-2024,UPI QR Payment Groceries,0.0,3713.69,25434.63
22-10-2024,Salary Credit XYZ Pvt Ltd,4182.2,0.0,21252.43
23-10-2024,UPI QR Payment Groceries,0.0,3615.84,17636.59
26-10-2024,EMI Auto Debit HDFC Bank,0.0,1006.21,16630.38
04-11-2024,Service Charge GST Debit,0.0,756.93,15873.45
04-11-2024,Cash Deposit Branch Counter,622.18,0.0,16495.63
06-11-2024,Cash Deposit Branch Counter,3777.56,0.0,12718.07
07-11-2024,Fuel Purchase Debit Card,0.0,2986.0,9732.07
11-11-2024,UPI QR Payment Groceries,0.0,3116.44,12848.51
14-11-2024,Utility Bill Payment Electricity,0.0,320.12,12528.39
14-11-2024,Electricity Bill NEFT Online,0.0,3079.38,15607.77
19-11-2024,NEFT Transfer To ABC Ltd,0.0,4925.74,10682.03
21-11-2024,Cheque Deposit Local Clearing,515.93,0.0,11197.96
26-11-2024,Fuel Purchase Debit Card,0.0,4319.32,15517.28
01-12-2024,Fuel Purchase Debit Card,0.0,821.75,16339.03
04-12-2024,Cheque Deposit Local Clearing,2939.04,0.0,13399.99
07-12-2024,Dining Out Card Swipe,0.0,2177.58,15577.57
13-12-2024,Cash Deposit Branch Counter,1210.14,0.0,14367.43
17-12-2024,IMPS UPI Payment Amazon,0.0,1683.84,16051.27
18-12-2024,Cash Deposit Branch Counter,4706.8,0.0,11344.47
24-12-2024,Cheque Deposit Local Clearing,1359.0,0.0,12703.47
27-12-2024,NEFT Transfer From PQR Pvt,4678.02,0.0,8025.45
01-01-2025,UPI QR Payment Groceries,0.0,2447.81,10473.26
